,Baggage_sabre,Seats_sabre,Meals_sabre,Seats_travelport,Baggage_travelport,Meals_travelport,Bookings
2K,1.0,0.0,0.0,0.0,0.0,0.0,
4C,1.0,1.0,0.0,0.0,0.0,0.0,
4M,1.0,1.0,0.0,0.0,0.0,0.0,
4U,1.0,0.0,1.0,0.0,0.0,0.0,
6S,1.0,0.0,1.0,0.0,0.0,0.0,9520.0
7R,1.0,0.0,0.0,0.0,0.0,0.0,
8Q,0.0,0.0,1.0,0.0,0.0,0.0,16.0
9B,,,,,,,51.0
9U,1.0,0.0,0.0,0.0,0.0,0.0,
9W,1.0,1.0,0.0,1.0,0.0,0.0,2832.0
A3,1.0,1.0,0.0,0.0,1.0,0.0,445.0
A9,,,,,,,1.0
AA,0.0,1.0,0.0,0.0,0.0,0.0,94.0
AC,0.0,1.0,0.0,1.0,0.0,0.0,217.0
AD,0.0,0.0,0.0,0.0,0.0,0.0,
AF,1.0,1.0,0.0,1.0,1.0,0.0,317.0
AH,,,,,,,3.0
AI,1.0,1.0,0.0,1.0,0.0,0.0,1601.0
AM,1.0,1.0,0.0,1.0,1.0,0.0,
AR,1.0,0.0,0.0,0.0,0.0,0.0,
AS,,,,,,,7.0
AT,1.0,0.0,0.0,0.0,0.0,0.0,423.0
AV,1.0,1.0,0.0,0.0,1.0,0.0,2.0
AY,1.0,1.0,0.0,1.0,1.0,1.0,
AZ,1.0,1.0,0.0,1.0,1.0,0.0,116.0
B2,,,,,,,7.0
B6,,,,,,,24.0
B8,,,,,,,51.0
BA,0.0,0.0,0.0,0.0,0.0,0.0,401.0
BE,1.0,0.0,0.0,0.0,1.0,0.0,1.0
BG,,,,,,,863.0
BI,1.0,1.0,0.0,0.0,0.0,0.0,
BM,0.0,0.0,0.0,0.0,0.0,0.0,
BT,1.0,1.0,1.0,0.0,1.0,1.0,
CA,1.0,1.0,0.0,0.0,0.0,0.0,10.0
CI,0.0,0.0,0.0,1.0,0.0,0.0,
CO,0.0,1.0,0.0,0.0,0.0,0.0,
CX,0.0,1.0,0.0,1.0,1.0,0.0,115.0
CY,1.0,1.0,0.0,0.0,0.0,0.0,
CZ,1.0,0.0,0.0,0.0,0.0,0.0,122.0
DE,1.0,1.0,1.0,1.0,0.0,0.0,
DL,0.0,0.0,0.0,1.0,0.0,0.0,89.0
EI,,,,,,,4.0
EK,1.0,1.0,1.0,1.0,0.0,0.0,9770.0
EN,1.0,0.0,0.0,0.0,0.0,0.0,
ET,,,,,,,1008.0
EY,1.0,1.0,0.0,1.0,1.0,0.0,2700.0
F9,1.0,0.0,0.0,0.0,0.0,0.0,
FI,1.0,1.0,1.0,0.0,1.0,1.0,
FJ,1.0,0.0,0.0,0.0,0.0,0.0,
FM,,,,,,,1.0
FR,1.0,1.0,0.0,1.0,1.0,0.0,
FZ,,,,,,,3942.0
GA,0.0,1.0,0.0,0.0,0.0,0.0,423.0
GF,1.0,1.0,0.0,0.0,0.0,0.0,4029.0
GQ,,,,,,,23.0
H1,1.0,0.0,0.0,0.0,0.0,0.0,4.0
H9,,,,,,,57.0
HA,0.0,1.0,0.0,1.0,0.0,0.0,
HR,1.0,0.0,0.0,0.0,0.0,0.0,
HU,1.0,0.0,0.0,0.0,0.0,0.0,
HV,1.0,1.0,0.0,1.0,1.0,0.0,
HX,0.0,0.0,0.0,0.0,0.0,0.0,
HY,,,,,,,118.0
IB,1.0,1.0,0.0,0.0,1.0,0.0,25.0
IG,1.0,1.0,1.0,1.0,1.0,0.0,2.0
J2,0.0,0.0,1.0,0.0,1.0,1.0,421.0
JJ,1.0,1.0,0.0,0.0,1.0,0.0,
JP,1.0,0.0,0.0,0.0,0.0,0.0,
JQ,,,,,,,1.0
JU,1.0,1.0,0.0,0.0,0.0,0.0,7.0
KA,0.0,1.0,0.0,1.0,0.0,0.0,4.0
KC,0.0,1.0,0.0,0.0,0.0,0.0,
KE,0.0,0.0,0.0,0.0,0.0,0.0,80.0
KK,1.0,0.0,1.0,0.0,1.0,1.0,678.0
KL,1.0,1.0,0.0,1.0,1.0,0.0,169.0
KM,1.0,0.0,0.0,0.0,0.0,0.0,
KP,,,,,,,24.0
KQ,1.0,0.0,0.0,0.0,0.0,0.0,73.0
KU,,,,,,,3491.0
LA,1.0,1.0,0.0,0.0,0.0,0.0,2.0
LG,1.0,1.0,0.0,0.0,1.0,0.0,
LH,1.0,1.0,0.0,1.0,1.0,0.0,259.0
LO,1.0,1.0,1.0,1.0,1.0,1.0,11.0
LP,1.0,1.0,0.0,0.0,0.0,0.0,
LR,1.0,0.0,0.0,0.0,0.0,0.0,
LX,1.0,1.0,0.0,0.0,0.0,0.0,3.0
LY,1.0,1.0,0.0,1.0,1.0,0.0,
ME,,,,,,,613.0
MH,0.0,1.0,0.0,1.0,0.0,0.0,492.0
MI,,,,,,,8.0
MK,1.0,1.0,0.0,1.0,0.0,0.0,2.0
MN,,,,,,,3.0
MS,,,,,,,22385.0
MT,1.0,1.0,1.0,0.0,0.0,0.0,
MU,,,,,,,4.0
NE,,,,,,,1774.0
NH,0.0,0.0,0.0,0.0,0.0,0.0,
NK,1.0,0.0,0.0,0.0,0.0,0.0,
NP,,,,,,,8356.0
NT,,,,,,,1.0
NZ,1.0,1.0,0.0,1.0,1.0,0.0,
O6,0.0,0.0,0.0,0.0,0.0,0.0,
OD,,,,,,,63.0
OK,1.0,1.0,1.0,1.0,1.0,1.0,23.0
OM,1.0,0.0,0.0,0.0,0.0,0.0,
OS,1.0,1.0,0.0,1.0,1.0,0.0,2.0
OU,1.0,0.0,0.0,0.0,0.0,0.0,2.0
OZ,0.0,1.0,0.0,1.0,0.0,0.0,
PC,1.0,1.0,1.0,1.0,1.0,1.0,934.0
PD,0.0,0.0,0.0,0.0,0.0,0.0,
PG,,,,,,,13.0
PK,,,,,,,1849.0
PR,1.0,1.0,0.0,0.0,1.0,0.0,1609.0
PS,1.0,1.0,1.0,1.0,1.0,1.0,19.0
QF,1.0,1.0,0.0,1.0,1.0,0.0,9.0
QR,,,,,,,9.0
RJ,1.0,1.0,0.0,0.0,0.0,0.0,824.0
RO,,,,,,,2.0
S4,0.0,1.0,0.0,0.0,0.0,0.0,
S7,1.0,1.0,1.0,0.0,1.0,1.0,3.0
SA,1.0,1.0,0.0,1.0,1.0,0.0,108.0
SK,1.0,1.0,1.0,1.0,1.0,1.0,25.0
SN,1.0,1.0,1.0,0.0,1.0,0.0,
SQ,,,,,,,79.0
SS,1.0,1.0,1.0,1.0,1.0,1.0,
SU,0.0,0.0,0.0,0.0,0.0,0.0,53.0
SV,,,,,,,47489.0
SW,1.0,0.0,0.0,0.0,0.0,0.0,
T0,1.0,0.0,0.0,0.0,0.0,0.0,
TA,1.0,0.0,0.0,0.0,0.0,0.0,
TF,0.0,0.0,0.0,0.0,0.0,0.0,
TG,,,,,,,63.0
TK,1.0,0.0,0.0,0.0,0.0,0.0,16837.0
TN,0.0,0.0,1.0,0.0,0.0,0.0,
TO,1.0,1.0,0.0,0.0,0.0,0.0,
TP,1.0,1.0,1.0,1.0,1.0,1.0,8.0
TR,,,,,,,239.0
TS,0.0,0.0,0.0,0.0,0.0,0.0,
TU,,,,,,,39.0
TX,1.0,1.0,1.0,1.0,1.0,1.0,
U2,1.0,1.0,0.0,1.0,1.0,0.0,
U6,0.0,1.0,1.0,0.0,0.0,0.0,3.0
UA,0.0,1.0,0.0,1.0,0.0,0.0,49.0
UJ,,,,,,,1193.0
UK,0.0,0.0,0.0,0.0,0.0,0.0,2.0
UL,1.0,0.0,1.0,0.0,1.0,1.0,2201.0
UT,0.0,0.0,0.0,0.0,0.0,0.0,
UU,1.0,1.0,1.0,0.0,0.0,0.0,
UX,1.0,1.0,0.0,0.0,0.0,0.0,60.0
V7,,,,,,,1.0
VA,1.0,1.0,0.0,1.0,1.0,0.0,6.0
VN,,,,,,,1.0
VS,0.0,0.0,0.0,0.0,0.0,0.0,16.0
VY,,,,,,,26.0
W2,,,,,,,3.0
WB,,,,,,,17.0
WF,0.0,0.0,0.0,0.0,0.0,0.0,
WS,0.0,1.0,0.0,1.0,0.0,0.0,13.0
WY,1.0,1.0,0.0,0.0,1.0,0.0,6510.0
XL,1.0,1.0,0.0,0.0,0.0,0.0,
XQ,,,,,,,14.0
XY,,,,,,,18007.0
YE,,,,,,,3.0
ZI,1.0,1.0,0.0,0.0,1.0,0.0,
