Carrier,Code,Branded Fares,Seats,Baggage,Lounge,Meals,Unaccompanied Travel,Pets,Medical,In-Flight Entertainment,Ground Transportation,Travel Services,Frequent Flyer Miles,POS,Branded POS
Adria Airways,JP,,,,,,,,,,,,,,
Aegean Airlines,A3,Yes,,Yes,,,Yes,,,,,,,,
Aeroflot,SU,Yes,,,,,,,,,,,,,
Aer Lingus,EI,,,,,,,,,,,,,,
Aerogal,2K,,,,,,,,,,,,,,
Aerolineas Argentinas ,AR,,,,,,,,,,,,,,
AeroMexico,AM,Yes,Yes,Yes,,,Yes,,,,,,,,
Aigle Azur,ZI,N,,Yes,,,Yes,Yes,,,,,,,
Air Asia,AK,Yes,Yes,Yes,,Yes,,,,,,,,,
Air Asia India,I5,,,,,,,,,,,,,,
Air Asia Phillippines,PQ,,,,,,,,,,,,,,
Air Asia X,D7,Yes,Yes,Yes,,Yes,,,,,,,,,
Air Astana,KC,Yes,,,,,,,,,,,,,
Air Austral,UU,,,,,,,,,,,,,,
Air Baltic,BT,,,Yes,,Yes,Yes,,,,,,,,
Air Canada,AC,Yes,Yes,,,,,,,,,,,,
Air Caraibes,TX,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,
Air China,CA ,N,,,,,,,,,,,,,
Air Corsica,XK,,,,,,,,,,,,,,
Air Dolomiti,EN,Yes,,,,,,,,,,,,,
Air Europa,UX,,,,,,,,,,,,,,
Air France,AF,,Yes,Yes,,,,Yes,,,,,,,
Air Go Egypt,EO,N,,,,Yes,,,,,,,,,
Air Iceland,NY,Yes,,,,,,,,,,,,,
Air India,AI,N,Yes,,,,,,,,,,,,
Air Inuit,3H,Yes,,,,,,,,,,,,,
Air Labrador,WJ,N,,,,,,,,,,,,,
Air Madagascar,MD,,,,,,,,,,,,,,
Air Mauritius,MK,N,Yes,,Yes,,,,,,,,,,
Air Moldova,9U,,,,,,,,,,,,,,
Air Namibia,SW,Yes,,,,,,,,,,,,,
Air New Zealand,NZ,Yes,Yes,Yes,,,Yes,,,,,,,,
Air Serbia,JU,Yes,,,,,,,,,,,,,
Air Tahiti Nui,TN,Yes,,,,,,,,,,,,,
Air Transat,TS,Yes,,,,,,,,,,,,,
Alitalia,AZ,Yes,Yes,Yes,Yes,,,,,,,Yes,,,
American Airlines,AA,Yes,,,,,,,,,,,,,
Asiana Airlines,OZ,,Yes,,,,,,,,,,,,
Atlantic Airways,RC,,,,,,,,,,,,,,
AtlasJet,KK,,,Yes,,Yes,,Yes,,,,,,,
Austrian Airlines,OS,Yes,Yes,Yes,,,Yes,,Yes,,,,,,
Avianca,AV,Yes,,Yes,,,Yes,Yes,,,,,,,
Azerbaijan Airlines,J2,,,Yes,,Yes,,,,,,,,,
Azores Airlines,S4,,,,,,,,,,,,,,
Bangkok Airways,PG,Yes,,Yes,,,,,,,,,,,
Bearskin,JV,Yes,,,,,,,,,,,,,
Belair,4T,,,,,,,,,,,,,,
Binter,NT,Yes,,,,,,,,,,,,,
BMI Regional,BM,,,,,,,,,,,,,,
Boliviana De Aviacion,OB,N,,,,,,,,,,,,,
Boutique Air,4B,N,,,,,,,,,,,,,
Braathens Aviation,TF,,,,,,,,,,,,,,
British Airways,BA,Yes,,,,,,,,,,,,,
Brussels Airlines,SN,Yes,,Yes,,,,,,,,,,,
Canadian North,ST,Yes,,,,,,,,,,,,,
Cathay Pacific,CX,N,Yes,Yes,,,,,,,,,,,
Cayman Airways,KX,Yes,,,,,,,,,,,,,
Charlie Airlines,CY,,,,,,,,,,,,,,
China Airlines,CI,,Yes,,,,,,,,,,,,
China Southern,CZ,N,,,,,,,,,,,,,
Comair,MN,Yes,,,,,,,,,,,,,
Condor,DE,N,Yes,,,,,,,,,,,,
Corsair,SS,Yes,Yes,Yes,,Yes,,Yes,,,,Yes,,,
Croatia Airlines,OU,,,,,,,,,,,,,,
Czech Airlines,OK,,Yes,Yes,,Yes,Yes,Yes,,,,,,,
Delta Air Lines,DL,Yes,Yes,,,,,,,,,,,,
Dragonair,KA,N,Yes, ,,,,,,,,,,,
easyJet,U2,Yes,Yes,Yes,,,,,,,,,,,
EL AL,LY,,Yes,Yes,,,Yes,Yes,,,,,,,
Ellinair,EL,Yes, ,,,,,,,,,,,,
Emirates,EK,Yes,Yes,,,,,,,,,,,,
Estonian Air ,OV,,,,,,,,,,,,,,
Ethiopian,ET,,,,,,,,,,,,,,
Etihad,EY, ,Yes,Yes,,,,,,,,,,,
EuroAtlantic,YU,N,,,,,,,,,,,,,
Eurowings,EW,Yes,,,,,,,,,,,,,
Fiji Airways,FJ,Yes,,,,,,,,,,,,,
Finnair,AY,Yes,Yes,Yes,,Yes,Yes,,,,,,,,
First Air,7F,Yes,,,,,,,,,,,,,
Flexflight,W2,Yes,,,,,,,,,,,,,
Flybe,BE,,,Yes,,,Yes,,,,,,,,
Fly Blue Crane,7B,Yes,,,,,,,,,,,,,
French Blue,BF,,,,,,,,,,,,,,
Frontier Airlines,F9,,,,,,,,,,,,,,
Garuda,GA,,,,,,,,,,,,,,
Germania,GM,,,,,,,,,,,,,,
Germanwings,4U,Yes,,,,,,,,,,,,,
GOL,G3,Yes,,,,,,,,,,,,,
Gulf Air,GF,,,,,,,,,,,,,,
Hahn Air,HR,Yes,,,,,,,,,,,,,
Hahn Air Systems,H1,N,,,,,,,,,,,,,
Hainan Airlines,HU,N,,,,,,,,,,,,,
Hawaiian Airlines,HA,,Yes,,,,,,,,,,,,
Hawkair,BH,Yes,,,,,,,,,,,,,
HongKong Airlines,HX,N,,,,,,,,,,,,,
HOP!,A5,,,,,,,,,,,,,,
Iberia,IB,Yes,,Yes,,,,,,,,,,,
Icelandair,FI,,,Yes,,Yes,Yes,,,,,,,,
IndiGo,6E,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,,
Indonesia AsiaAir,QZ,,,,,,,,,,,,,,
Jambojet.com,JX,,Yes,Yes,,,,,,,,,,,
Japan Airlines,JL,Yes,,,,,,,,,,,,,
Jeju Air,7C,Yes,,,,,,,,,,,,,
Jet2.com,LS,,Yes,Yes,,Yes,,,,,,Yes,,,
Jet Airways,9W,,Yes,,,,,,,,,,,,
jetBlue,B6,Yes,,,,,,,,,,,,,
Jordan Aviation,R5,,,,,,,,,,,,,,
Kenya Airways,KQ,Yes,,,,,,,,,,,,,
KLM,KL,,Yes,Yes,,,,Yes,,,,,,,
Korean Airlines,KE,Yes,,,,,,,,,,,,,
Kulula.com,MN,Yes,,,,,,,,,,,,,
La Compagnie,B0,Yes,,,,,,,,,,,,,
Lacsa,LR,,,,,,,,,,,,,,
LATAM Airlines Argentina,4M,,,,,,,,,,,,,,
LATAM Airlines Brasil,JJ,Yes,,Yes,,,,,,,,,,,
LATAM Airlines Ecuador,XL,,,,,,,,,,,,,,
LATAM Airlines Paraguay,PZ,,,,,,,,,,,,,,
LATAM Airlines Colunbia,LP,,,,,,,,,,,,,,
LATAM Airlines Peru,4C,,,,,,,,,,,,,,
LOT Polish Airlines,LO,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,
Lufthansa,LH,Yes,Yes,Yes,,,Yes,,Yes,,,,,,
Luxair,LG,Yes,,Yes,,,,Yes,,,,,,,
Malaysia Airlines,MH,Yes,Yes,,,,,,,,,,,,
Malmo Aviation,TF,,,,,,,,,,,,,,
Mango,JE,Yes,,,,,,,,,,,,,
Maya Islandair,MY,N,,,,,,,,,,,,,
Meridiana,IG,Yes,Yes,Yes,,,Yes,Yes,,,,Yes,,,
MIAT Mongolian,OM,,,,,,,,,,,,,,
Middle East Airlines,ME,Yes,,,,,,,,,,,,,
Mihin Lanka,MU,,,Yes,,Yes,,,,,,,,,
Myanmar Airways,8M,N,,,,,,,,,,,,,
Niki,HG,,,,,,,,,,,,,,
Nile Air,NP,Yes,,,,,,,,,,,,,
Norwegian Air Shuttle,DY,,,,,,,,,,,,,,
Oceanair (Avianca Brazil),O6,,,,,,Yes,Yes,,,,,,,
Oman Air,WY,,,Yes,Yes,,,Yes,,,,,,,
OneJet,J1,N,,,,,,,,,,,,,
Onur Airlines,8Q,,,,,,,,,,,,,,
Pacific Coastal,8P,Yes,,,,,,,,,,,,,
PAWA Domincana,7N,Yes,,,,,,,,,,,,,
Pegasus,PC,,Yes,Yes,,Yes,,,,,,,,,
Peruvian Airlines,P9,N,,,,,,,,,,,,,
Phillippine Airlines,PR,,,Yes,,,,,,,,,,,
Porter Airlines,PD,,,,,,,,,,,,,,
Qantas,QF,,Yes,Yes,,,,,,,,,,,
Qatar,QR,,,,,,,,,,,,,,
Regional Express Airlines,ZL,Yes,,,,,,,,,,,,,
Royal Air Maroc,TX,,,Yes,,,,Yes,,,,,,,
Royal Brunei,BI,,,,,,,,,,,,,,
Royal Jordanian,RJ,,,,,,,,,,,,,,
Rusline,7R,,,,,,,,,,,,,,
RwandAir,WB,,,,,,,,,,,,,,
Ryanair,FR,Yes,Yes,Yes,,,,,,,,Yes,,,
STP Airways,8F,Yes,,,,,,,,,,,,,
SATA Group,S4,,,,,,Yes,,Yes,,,,,,
Saudi Arabian Airlines,SV,,,,,,,,,,,,,,
Scandinavian Airlines,SK,Yes,Yes,Yes,,Yes,,Yes,,,,,,,
Seaport,K5,Yes,,,,,,,,,,,,,
Shanghai Airlines,FM,N,,,,,,,,,,,,,
Siam Air,O8,Yes,,,,,,,,,,,,,
Siberia Airlines (S7),S7,,,Yes,,Yes,Yes,,,,,,,,
Singapore Airlines,SQ,Yes,,,,,,,,,,,,,
SkyWorks Airlines,SX,Yes,,,,,,,,,,,,,
Solomons Airlines,IE,Yes,,,,,,,,,,,,,
Spirit Airlines,NK,,,,,,,,,,,,,,
South African Airways,SA,,Yes,Yes,,,,,Yes,,,,,,
SriLankan Airlines,UL,,,Yes,,Yes,,,,,,,,,
Sun Express,XQ,Yes,,,,,,,,,,,,,
Sun Express Germany,XG,Yes,,,,,,,,,,,,,
Sunwing Airlines,WG,Yes,,,,,,,,,,,,,
SWISS,LK,Yes,Yes,Yes,,,,,,,,,,,
TACA,TA,,,,,,,,,,,,,,
TACA Peru,TO,,,,,,,,,,,,,,
TAP Portugal,TP,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,
Thai AirAsia,FD,,,,,,,,,,,,,,
Thai AirAsia X,XJ,,,,,,,,,,,,,,
Thomas Cook Airlines Belgium,HQ,,,,,,,,,,,,,,
Thomas Cook Airlines Limited of Manchester,MT,,,,,,,,,,,,,,
Tiger Air,TR,,Yes,Yes,,Yes,,,,,,Yes,,,
Tiger Air Taiwan,IT,Yes,Yes,Yes,,Yes,,,,,,Yes,,,
Tradewind Aviation,TJ,N,,,,,,,,,,,,,
Transavia,HV,Yes,Yes,Yes,,,,Yes,,,,,,,
Transavia France,TO,Yes,,,,,,,,,,,,,
Tropic Air,9N,Yes,,,,,,,,,,,,,
Ukraine International,PS,,Yes,Yes,,Yes,Yes,,,,,,,,
United Airlines,UA,N,Yes,,,,,,,,,,,,
Ural Airlines,U6,,,,,,,,,,,,,,
Utair,UT,Yes,,,,,,,,,,,,,
Via Air ,VC,N,,,,,,,,,,,,,
Virgin America,VX,,,,,,,,,,,,,,
Virgin Atlantic,VS,Yes,,,,,,,,,,,,,
Virgin Australia,VA,Yes,Yes,Yes,,,Yes,,,,,,,,
Vistara,UK,N,,,,,,,,,,,,,
VivaAerobus,VB,,,,,,,,,,,,,,
Vueling,VY,Yes,,,,,,,,,,,,,
WestJet,WS,Yes,Yes,,,,,,,,,,,,
Wideroe,WF,Yes,,,,,,,,,,,,,
Windwood Island Airways,WM,Yes,,,,,,,,,,,,,
WOW Air,WW,Yes,,,,,,,,,,,,,
