,Baggage_sabre,Seats_sabre,Seats_amadeus,Baggage_amadeus
2K,,,,
4C,,,,
4M,1755.0,1755.0,0.0,0.0
4U,1871.0,0.0,0.0,0.0
6S,,,,
7R,1429.0,0.0,0.0,0.0
8Q,0.0,0.0,0.0,0.0
9U,24508.0,0.0,0.0,0.0
9W,62589.0,62589.0,0.0,0.0
A3,287300.0,287300.0,287300.0,287300.0
AA,0.0,171734.0,0.0,0.0
AC,0.0,135043.0,0.0,0.0
AD,0.0,0.0,0.0,0.0
AF,1484471.0,1484471.0,0.0,0.0
AI,102656.0,102656.0,0.0,0.0
AM,103752.0,103752.0,0.0,0.0
AR,42506.0,0.0,0.0,0.0
AT,400171.0,0.0,0.0,0.0
AV,205301.0,205301.0,0.0,0.0
AY,328996.0,328996.0,0.0,0.0
AZ,708021.0,708021.0,0.0,0.0
BA,0.0,0.0,0.0,0.0
BE,13008.0,0.0,0.0,0.0
BI,4259.0,4259.0,0.0,0.0
BM,0.0,0.0,0.0,0.0
BT,93526.0,0.0,0.0,0.0
CA,130674.0,130674.0,0.0,0.0
CI,0.0,0.0,0.0,0.0
CO,0.0,2769.0,0.0,0.0
CX,0.0,80936.0,0.0,0.0
CY,1360.0,1360.0,0.0,0.0
CZ,74288.0,0.0,0.0,0.0
DE,31458.0,31458.0,0.0,0.0
DL,0.0,0.0,0.0,0.0
EK,365436.0,365436.0,0.0,0.0
EN,14236.0,0.0,0.0,0.0
EY,193653.0,193653.0,0.0,0.0
F9,6.0,0.0,0.0,0.0
FI,72467.0,72467.0,0.0,0.0
FJ,5715.0,0.0,0.0,0.0
FR,149.0,149.0,0.0,0.0
GA,0.0,26060.0,0.0,0.0
GF,28334.0,28334.0,0.0,0.0
H1,27286.0,0.0,0.0,0.0
HA,0.0,14633.0,0.0,0.0
HR,18.0,0.0,0.0,0.0
HU,12429.0,0.0,0.0,0.0
HV,34283.0,34283.0,0.0,0.0
HX,0.0,0.0,0.0,0.0
IB,1072251.0,1072251.0,0.0,0.0
IG,13928.0,13928.0,0.0,0.0
J2,0.0,0.0,0.0,0.0
JJ,57384.0,57384.0,0.0,0.0
JP,52516.0,0.0,0.0,52516.0
JU,89488.0,89488.0,0.0,0.0
KA,0.0,4105.0,0.0,0.0
KC,0.0,9243.0,9243.0,0.0
KE,0.0,0.0,0.0,0.0
KK,70778.0,0.0,0.0,0.0
KL,747173.0,747173.0,0.0,0.0
KM,124818.0,0.0,0.0,0.0
KQ,57199.0,0.0,0.0,0.0
LA,181038.0,181038.0,0.0,0.0
LG,67393.0,67393.0,0.0,0.0
LH,1298116.0,1298116.0,0.0,0.0
LO,210317.0,210317.0,0.0,0.0
LP,,,,
LR,27.0,0.0,0.0,0.0
LX,477046.0,477046.0,0.0,0.0
LY,42580.0,42580.0,0.0,0.0
MH,0.0,31686.0,0.0,0.0
MK,26846.0,26846.0,0.0,0.0
MT,9699.0,9699.0,0.0,0.0
NH,0.0,0.0,0.0,0.0
NK,3.0,0.0,0.0,0.0
NZ,18767.0,18767.0,0.0,0.0
O6,0.0,0.0,0.0,0.0
OK,119803.0,119803.0,0.0,0.0
OM,2986.0,0.0,0.0,0.0
OS,305955.0,305955.0,0.0,0.0
OU,99228.0,0.0,0.0,0.0
OZ,0.0,22957.0,0.0,0.0
PC,111215.0,111215.0,0.0,0.0
PD,0.0,0.0,0.0,0.0
PR,27933.0,27933.0,0.0,0.0
PS,145868.0,145868.0,0.0,0.0
QF,58316.0,58316.0,0.0,0.0
RJ,41206.0,41206.0,0.0,0.0
S4,0.0,32498.0,0.0,0.0
S7,38442.0,38442.0,0.0,0.0
SA,64267.0,64267.0,0.0,0.0
SK,398434.0,398434.0,0.0,0.0
SN,297214.0,297214.0,0.0,0.0
SS,94208.0,94208.0,0.0,0.0
SU,0.0,0.0,0.0,0.0
SW,12744.0,0.0,0.0,0.0
T0,,,,
TA,1703.0,0.0,0.0,0.0
TF,0.0,0.0,0.0,0.0
TK,897978.0,0.0,0.0,0.0
TN,0.0,0.0,0.0,0.0
TO,412890.0,412890.0,0.0,0.0
TP,997131.0,997131.0,0.0,0.0
TS,0.0,0.0,0.0,0.0
TX,70172.0,70172.0,0.0,0.0
U2,722.0,722.0,0.0,0.0
U6,0.0,24982.0,0.0,0.0
UA,0.0,265821.0,0.0,0.0
UK,0.0,0.0,0.0,0.0
UL,20424.0,0.0,0.0,0.0
UT,0.0,0.0,0.0,0.0
UU,27071.0,27071.0,0.0,0.0
UX,629768.0,629768.0,0.0,0.0
VA,22614.0,22614.0,0.0,0.0
VS,0.0,0.0,0.0,0.0
WF,0.0,0.0,0.0,0.0
WS,0.0,30074.0,0.0,0.0
WY,53625.0,53625.0,0.0,0.0
XL,5091.0,5091.0,0.0,0.0
ZI,241748.0,241748.0,0.0,0.0
TU,,,,
A5,,,,
D8,,,,
QR,,,,
AH,,,,
DY,,,,
TG,,,,
VY,,,,
SQ,,,,
XK,,,,
MS,,,,
PG,,,,
ET,,,,
RO,,,,
0B,,,,
VN,,,,
MU,,,,
EW,,,,
CM,,,,
AB,,,,
SE,,,,
SV,,,,
V7,,,,
HG,,,,
NT,,,,
ME,,,,
FB,,,,
AS,,,,
DI,,,,
QS,,,,
EI,,,,
G3,,,,
FZ,,,,
4O,,,,
XQ,,,,
JL,,,,
YM,,,,
BJ,,,,
BR,,,,
KU,,,,
B2,,,,
VR,,,,
PU,,,,
BF,,,,
5O,,,,
W4,,,,
X3,,,,
EQ,,,,
OB,,,,
EL,,,,
SP,,,,
WW,,,,
SF,,,,
ST,,,,
K6,,,,
W2,,,,
IZ,,,,
SB,,,,
PW,,,,
P9,,,,
UG,,,,
SM,,,,
Z8,,,,
QV,,,,
WB,,,,
HY,,,,
A9,,,,
DT,,,,
GQ,,,,
MF,,,,
3B,,,,
HF,,,,
OD,,,,
WX,,,,
VX,,,,
PM,,,,
H2,,,,
ZZ,,,,
GP,,,,
MD,,,,
UP,,,,
MI,,,,
5F,,,,
MN,,,,
3S,,,,
CU,,,,
CE,,,,
E9,,,,
VJ,,,,
HM,,,,
EB,,,,
FM,,,,
LM,,,,
KP,,,,
9V,,,,
BV,,,,
SY,,,,
NP,,,,
BW,,,,
TB,,,,
QC,,,,
TR,,,,
8M,,,,
RC,,,,
BG,,,,
2N,,,,
TM,,,,
XG,,,,
F8,,,,
UB,,,,
KX,,,,
AP,,,,
6H,,,,
OY,,,,
3U,,,,
3K,,,,
JQ,,,,
2I,,,,
HO,,,,
3O,,,,
5Z,,,,
PY,,,,
L5,,,,
BP,,,,
WM,,,,
OR,,,,
M4,,,,
VT,,,,
9B,,,,
7N,,,,
3M,,,,
NX,,,,
YU,,,,
ZH,,,,
BD,,,,
5H,,,,
T7,,,,
QD,,,,
SX,,,,
MW,,,,
GL,,,,
GS,,,,
UO,,,,
AG,,,,
T3,,,,
PZ,,,,
2J,,,,
VW,,,,
FN,,,,
GM,,,,
JD,,,,
WZ,,,,
PX,,,,
5U,,,,
DX,,,,
LQ,,,,
B5,,,,
JY,,,,
7W,,,,
NY,,,,
YE,,,,
LI,,,,
BL,,,,
NF,,,,
F7,,,,
DV,,,,
OA,,,,
M9,,,,
YC,,,,
GR,,,,
5N,,,,
ID,,,,
SZ,,,,
FA,,,,
SC,,,,
XY,,,,
WP,,,,
SL,,,,
TL,,,,
CC,,,,
R7,,,,
P0,,,,
AW,,,,
ZE,,,,
HQ,,,,
2L,,,,
Y7,,,,
PE,,,,
6I,,,,
BB,,,,
AE,,,,
B0,,,,
GK,,,,
9K,,,,
NU,,,,
8L,,,,
4D,,,,
B7,,,,
Z6,,,,
9F,,,,
D4,,,,
UH,,,,
9N,,,,
B6,,,,
2M,,,,
R3,,,,
MR,,,,
UJ,,,,
8H,,,,
IE,,,,
CG,,,,
HZ,,,,
3J,,,,
YJ,,,,
S9,,,,
9X,,,,
4B,,,,
LS,,,,
TJ,,,,
WG,,,,
U8,,,,
Z9,,,,
S3,,,,
7J,,,,
PN,,,,
D2,,,,
LJ,,,,
2H,,,,
XW,,,,
2D,,,,
W6,,,,
FD,,,,
TV,,,,
ZL,,,,
VL,,,,
7I,,,,
8P,,,,
5T,,,,
Z2,,,,
7F,,,,
WE,,,,
QZ,,,,
PJ,,,,
IR,,,,
A1,,,,
KS,,,,
ZK,,,,
AK,,,,
L6,,,,
I5,,,,
D7,,,,
R5,,,,
DD,,,,
2Z,,,,
DP,,,,
NO,,,,
LF,,,,
JV,,,,
C2,,,,
RA,,,,
2U,,,,
9M,,,,
ZM,,,,
ZD,,,,
P1,,,,
OE,,,,
XX,,,,
PB,,,,
A2,,,,
8G,,,,
JE,,,,
H9,,,,
CN,,,,
B8,,,,
X4,,,,
P4,,,,
8F,,,,
5W,,,,
,,,,
RQ,,,,
P5,,,,
O2,,,,
W3,,,,
UM,,,,
8I,,,,
V0,,,,
